t,x_ref,y_ref,heading_ref,s_ref,v_ref
0.000,15.749,-15.749,-0.060,0.000,0.500
0.020,15.750,-15.739,-0.057,0.010,0.520
0.040,15.750,-15.728,-0.054,0.021,0.540
0.060,15.751,-15.717,-0.051,0.032,0.560
0.080,15.751,-15.706,-0.048,0.043,0.580
0.100,15.752,-15.694,-0.045,0.055,0.600
0.120,15.752,-15.682,-0.042,0.067,0.620
0.140,15.753,-15.669,-0.038,0.080,0.640
0.160,15.753,-15.656,-0.035,0.093,0.660
0.180,15.754,-15.643,-0.031,0.106,0.680
0.200,15.754,-15.629,-0.027,0.120,0.700
0.220,15.754,-15.615,-0.023,0.134,0.720
0.240,15.755,-15.600,-0.019,0.149,0.740
0.260,15.755,-15.585,-0.015,0.164,0.760
0.280,15.755,-15.570,-0.010,0.179,0.780
0.300,15.755,-15.554,-0.006,0.195,0.800
0.320,15.755,-15.538,-0.001,0.211,0.820
0.340,15.755,-15.521,0.004,0.228,0.840
0.360,15.755,-15.504,0.008,0.245,0.860
0.380,15.755,-15.487,0.014,0.262,0.880
0.400,15.755,-15.469,0.019,0.280,0.900
0.420,15.755,-15.451,0.024,0.298,0.920
0.440,15.754,-15.432,0.030,0.317,0.940
0.460,15.753,-15.413,0.035,0.336,0.960
0.480,15.752,-15.394,0.041,0.355,0.980
0.500,15.752,-15.374,0.047,0.375,1.000
0.520,15.751,-15.354,0.053,0.395,1.020
0.540,15.749,-15.334,0.060,0.416,1.040
0.560,15.748,-15.313,0.067,0.437,1.060
0.580,15.746,-15.291,0.073,0.458,1.080
0.600,15.745,-15.269,0.080,0.480,1.100
0.620,15.743,-15.247,0.087,0.502,1.120
0.640,15.741,-15.225,0.095,0.525,1.140
0.660,15.739,-15.202,0.103,0.548,1.160
0.680,15.736,-15.179,0.111,0.571,1.180
0.700,15.734,-15.155,0.119,0.595,1.200
0.720,15.731,-15.131,0.127,0.619,1.220
0.740,15.727,-15.107,0.136,0.644,1.240
0.760,15.724,-15.082,0.145,0.669,1.260
0.780,15.720,-15.057,0.154,0.694,1.280
0.800,15.716,-15.031,0.163,0.720,1.300
0.820,15.711,-15.005,0.173,0.746,1.320
0.840,15.707,-14.979,0.183,0.773,1.340
0.860,15.702,-14.953,0.194,0.800,1.360
0.880,15.696,-14.926,0.205,0.827,1.380
0.900,15.690,-14.899,0.216,0.855,1.400
0.920,15.684,-14.871,0.227,0.883,1.420
0.940,15.678,-14.843,0.239,0.912,1.440
0.960,15.671,-14.815,0.251,0.941,1.460
0.980,15.663,-14.787,0.264,0.970,1.480
1.000,15.656,-14.758,0.277,1.000,1.500
1.020,15.647,-14.729,0.291,1.030,1.520
1.040,15.638,-14.700,0.305,1.061,1.540
1.060,15.629,-14.670,0.319,1.092,1.560
1.080,15.618,-14.641,0.334,1.123,1.580
1.100,15.607,-14.611,0.350,1.155,1.600
1.120,15.596,-14.580,0.365,1.187,1.620
1.140,15.585,-14.550,0.382,1.220,1.640
1.160,15.572,-14.520,0.399,1.253,1.660
1.180,15.559,-14.489,0.417,1.286,1.680
1.200,15.545,-14.458,0.435,1.320,1.700
1.220,15.530,-14.427,0.454,1.354,1.720
1.240,15.515,-14.396,0.474,1.389,1.740
1.260,15.498,-14.365,0.493,1.424,1.760
1.280,15.481,-14.335,0.512,1.459,1.780
1.300,15.464,-14.303,0.532,1.495,1.800
1.320,15.445,-14.272,0.550,1.531,1.820
1.340,15.425,-14.241,0.568,1.568,1.840
1.360,15.405,-14.210,0.586,1.605,1.860
1.380,15.384,-14.179,0.603,1.642,1.880
1.400,15.362,-14.148,0.619,1.680,1.900
1.420,15.340,-14.117,0.635,1.718,1.920
1.440,15.317,-14.087,0.650,1.757,1.940
1.460,15.293,-14.056,0.665,1.796,1.960
1.480,15.269,-14.025,0.678,1.835,1.980
1.500,15.243,-13.994,0.690,1.875,2.000
1.520,15.218,-13.963,0.703,1.915,2.000
1.540,15.192,-13.933,0.713,1.955,2.000
1.560,15.166,-13.903,0.724,1.995,2.000
1.580,15.139,-13.873,0.733,2.035,2.000
1.600,15.112,-13.843,0.742,2.075,2.000
1.620,15.085,-13.814,0.750,2.115,2.000
1.640,15.057,-13.785,0.757,2.155,2.000
1.660,15.030,-13.756,0.763,2.195,2.000
1.680,15.002,-13.727,0.768,2.235,2.000
1.700,14.974,-13.698,0.773,2.275,2.000
1.720,14.946,-13.670,0.777,2.315,2.000
1.740,14.918,-13.641,0.780,2.355,2.000
1.760,14.890,-13.613,0.783,2.395,2.000
1.780,14.862,-13.585,0.784,2.435,2.000
1.800,14.833,-13.556,0.785,2.475,2.000
1.820,14.805,-13.528,0.786,2.515,2.000
1.840,14.777,-13.500,0.787,2.555,2.000
1.860,14.749,-13.471,0.787,2.595,2.000
1.880,14.720,-13.443,0.788,2.635,2.000
1.900,14.692,-13.415,0.788,2.675,2.000
1.920,14.663,-13.387,0.789,2.715,2.000
1.940,14.635,-13.359,0.789,2.755,2.000
1.960,14.607,-13.330,0.789,2.795,2.000
1.980,14.578,-13.302,0.790,2.835,2.000
2.000,14.550,-13.274,0.790,2.875,2.000
2.020,14.521,-13.246,0.790,2.915,2.000
2.040,14.493,-13.218,0.790,2.955,2.000
2.060,14.465,-13.190,0.790,2.995,2.000
2.080,14.436,-13.162,0.790,3.035,2.000
2.100,14.408,-13.133,0.789,3.075,2.000
2.120,14.379,-13.105,0.789,3.115,2.000
2.140,14.351,-13.077,0.789,3.155,2.000
2.160,14.323,-13.049,0.788,3.195,2.000
2.180,14.294,-13.021,0.788,3.235,2.000
2.200,14.266,-12.992,0.787,3.275,2.000
2.220,14.238,-12.964,0.787,3.315,2.000
2.240,14.209,-12.936,0.786,3.355,2.000
2.260,14.181,-12.908,0.785,3.395,2.000
2.280,14.153,-12.879,0.784,3.435,2.000
2.300,14.125,-12.851,0.783,3.475,2.000
2.320,14.096,-12.823,0.782,3.515,2.000
2.340,14.068,-12.794,0.782,3.555,2.000
2.360,14.040,-12.766,0.781,3.595,2.000
2.380,14.012,-12.737,0.781,3.635,2.000
2.400,13.984,-12.709,0.781,3.675,2.000
2.420,13.956,-12.681,0.781,3.715,2.000
2.440,13.927,-12.652,0.781,3.755,2.000
2.460,13.899,-12.624,0.782,3.795,2.000
2.480,13.871,-12.595,0.783,3.835,2.000
2.500,13.843,-12.567,0.784,3.875,2.000
2.520,13.815,-12.539,0.785,3.915,2.000
2.540,13.786,-12.510,0.787,3.955,2.000
2.560,13.758,-12.482,0.788,3.995,2.000
2.580,13.729,-12.454,0.790,4.035,2.000
2.600,13.701,-12.426,0.793,4.075,2.000
2.620,13.673,-12.398,0.795,4.115,2.000
2.640,13.644,-12.370,0.798,4.155,2.000
2.660,13.615,-12.342,0.801,4.195,2.000
2.680,13.586,-12.314,0.803,4.235,2.000
2.700,13.558,-12.287,0.805,4.275,2.000
2.720,13.529,-12.259,0.806,4.315,2.000
2.740,13.500,-12.231,0.806,4.355,2.000
2.760,13.471,-12.203,0.806,4.395,2.000
2.780,13.442,-12.176,0.803,4.435,2.000
2.800,13.414,-12.148,0.801,4.475,2.000
2.820,13.385,-12.120,0.798,4.515,2.000
2.840,13.356,-12.092,0.793,4.555,2.000
2.860,13.328,-12.064,0.789,4.595,2.000
2.880,13.300,-12.036,0.783,4.635,2.000
2.900,13.271,-12.007,0.777,4.675,2.000
2.920,13.243,-11.979,0.770,4.715,2.000
2.940,13.216,-11.950,0.763,4.755,2.000
2.960,13.188,-11.921,0.756,4.795,2.000
2.980,13.161,-11.891,0.747,4.835,2.000
3.000,13.134,-11.862,0.739,4.875,2.000
3.020,13.107,-11.832,0.729,4.915,2.000
3.040,13.081,-11.802,0.719,4.955,2.000
3.060,13.054,-11.772,0.709,4.995,2.000
3.080,13.028,-11.742,0.697,5.035,2.000
3.100,13.003,-11.711,0.685,5.075,2.000
3.120,12.978,-11.680,0.672,5.115,2.000
3.140,12.953,-11.648,0.658,5.155,2.000
3.160,12.929,-11.617,0.644,5.195,2.000
3.180,12.905,-11.584,0.629,5.235,2.000
3.200,12.882,-11.552,0.613,5.275,2.000
3.220,12.859,-11.519,0.598,5.315,2.000
3.240,12.837,-11.486,0.584,5.355,2.000
3.260,12.815,-11.452,0.570,5.395,2.000
3.280,12.794,-11.418,0.558,5.435,2.000
3.300,12.773,-11.384,0.547,5.475,2.000
3.320,12.752,-11.350,0.537,5.515,2.000
3.340,12.732,-11.316,0.528,5.555,2.000
3.360,12.712,-11.281,0.520,5.595,2.000
3.380,12.692,-11.246,0.512,5.635,2.000
3.400,12.672,-11.211,0.505,5.675,2.000
3.420,12.653,-11.176,0.498,5.715,2.000
3.440,12.634,-11.141,0.490,5.755,2.000
3.460,12.615,-11.106,0.482,5.795,2.000
3.480,12.597,-11.070,0.474,5.835,2.000
3.500,12.579,-11.034,0.465,5.875,2.000
3.520,12.561,-10.999,0.456,5.915,2.000
3.540,12.544,-10.962,0.447,5.955,2.000
3.560,12.527,-10.926,0.438,5.995,2.000
3.580,12.510,-10.890,0.429,6.035,2.000
3.600,12.493,-10.854,0.419,6.075,2.000
3.620,12.477,-10.817,0.409,6.115,2.000
3.640,12.462,-10.780,0.399,6.155,2.000
3.660,12.446,-10.743,0.389,6.195,2.000
3.680,12.431,-10.706,0.378,6.235,2.000
3.700,12.417,-10.669,0.367,6.275,2.000
3.720,12.403,-10.632,0.356,6.315,2.000
3.740,12.389,-10.594,0.344,6.355,2.000
3.760,12.375,-10.556,0.332,6.395,2.000
3.780,12.363,-10.518,0.320,6.435,2.000
3.800,12.350,-10.480,0.307,6.475,2.000
3.820,12.339,-10.442,0.295,6.515,2.000
3.840,12.327,-10.404,0.282,6.555,2.000
3.860,12.316,-10.365,0.268,6.595,2.000
3.880,12.306,-10.327,0.255,6.635,2.000
3.900,12.296,-10.288,0.241,6.675,2.000
3.920,12.287,-10.249,0.228,6.715,2.000
3.940,12.278,-10.210,0.215,6.755,2.000
3.960,12.270,-10.171,0.202,6.795,2.000
3.980,12.262,-10.132,0.190,6.835,2.000
4.000,12.255,-10.092,0.178,6.875,2.000
4.020,12.248,-10.053,0.166,6.915,2.000
4.040,12.242,-10.013,0.155,6.955,2.000
4.060,12.235,-9.974,0.144,6.995,2.000
4.080,12.230,-9.934,0.133,7.035,2.000
4.100,12.225,-9.894,0.123,7.075,2.000
4.120,12.220,-9.855,0.113,7.115,2.000
4.140,12.216,-9.815,0.104,7.155,2.000
4.160,12.212,-9.775,0.094,7.195,2.000
4.180,12.209,-9.735,0.086,7.235,2.000
4.200,12.205,-9.695,0.077,7.275,2.000
4.220,12.202,-9.656,0.069,7.315,2.000
4.240,12.200,-9.616,0.061,7.355,2.000
4.260,12.197,-9.576,0.053,7.395,2.000
4.280,12.195,-9.536,0.046,7.435,2.000
4.300,12.194,-9.496,0.040,7.475,2.000
4.320,12.192,-9.456,0.033,7.515,2.000
4.340,12.191,-9.416,0.027,7.555,2.000
4.360,12.190,-9.376,0.021,7.595,2.000
4.380,12.189,-9.336,0.015,7.635,2.000
4.400,12.189,-9.296,0.010,7.675,2.000
4.420,12.189,-9.256,0.005,7.715,2.000
4.440,12.188,-9.216,0.001,7.755,2.000
4.460,12.188,-9.176,-0.003,7.795,2.000
4.480,12.189,-9.136,-0.006,7.835,2.000
4.500,12.189,-9.096,-0.009,7.875,2.000
4.520,12.189,-9.056,-0.012,7.915,2.000
4.540,12.190,-9.016,-0.014,7.955,2.000
4.560,12.190,-8.976,-0.015,7.995,2.000
4.580,12.191,-8.936,-0.016,8.035,2.000
4.600,12.192,-8.896,-0.016,8.075,2.000
4.620,12.192,-8.856,-0.016,8.115,2.000
4.640,12.193,-8.816,-0.015,8.155,2.000
4.660,12.194,-8.776,-0.013,8.195,2.000
4.680,12.194,-8.736,-0.011,8.235,2.000
4.700,12.194,-8.696,-0.009,8.275,2.000
4.720,12.195,-8.656,-0.005,8.315,2.000
4.740,12.195,-8.616,-0.002,8.355,2.000
4.760,12.195,-8.576,0.002,8.395,2.000
4.780,12.195,-8.536,0.006,8.435,2.000
4.800,12.194,-8.496,0.010,8.475,2.000
4.820,12.194,-8.456,0.013,8.515,2.000
4.840,12.193,-8.416,0.015,8.555,2.000
4.860,12.193,-8.376,0.016,8.595,2.000
4.880,12.192,-8.336,0.016,8.635,2.000
4.900,12.191,-8.296,0.016,8.675,2.000
4.920,12.191,-8.256,0.014,8.715,2.000
4.940,12.190,-8.216,0.012,8.755,2.000
4.960,12.190,-8.176,0.009,8.795,2.000
4.980,12.190,-8.136,0.005,8.835,2.000
5.000,12.189,-8.096,0.001,8.875,2.000
5.020,12.190,-8.056,-0.005,8.915,2.000
5.040,12.190,-8.016,-0.011,8.955,2.000
5.060,12.190,-7.976,-0.018,8.995,2.000
5.080,12.191,-7.936,-0.026,9.035,2.000
5.100,12.192,-7.896,-0.033,9.075,2.000
5.120,12.194,-7.856,-0.043,9.115,2.000
5.140,12.196,-7.816,-0.053,9.155,2.000
5.160,12.198,-7.776,-0.063,9.195,2.000
5.180,12.201,-7.736,-0.075,9.235,2.000
5.200,12.204,-7.696,-0.086,9.275,2.000
5.220,12.208,-7.657,-0.100,9.315,2.000
5.240,12.212,-7.617,-0.113,9.355,2.000
5.260,12.217,-7.577,-0.128,9.395,2.000
5.280,12.223,-7.537,-0.143,9.435,2.000
5.300,12.228,-7.498,-0.159,9.475,2.000
5.320,12.235,-7.458,-0.177,9.515,2.000
5.340,12.243,-7.419,-0.195,9.555,2.000
5.360,12.250,-7.380,-0.214,9.595,2.000
5.380,12.260,-7.341,-0.234,9.635,2.000
5.400,12.269,-7.302,-0.255,9.675,2.000
5.420,12.280,-7.264,-0.277,9.715,2.000
5.440,12.291,-7.225,-0.301,9.755,2.000
5.460,12.303,-7.187,-0.324,9.795,2.000
5.480,12.317,-7.150,-0.348,9.835,2.000
5.500,12.330,-7.112,-0.372,9.875,2.000
5.520,12.346,-7.075,-0.393,9.915,2.000
5.540,12.361,-7.038,-0.414,9.955,2.000
5.560,12.378,-7.002,-0.433,9.995,2.000
5.580,12.395,-6.966,-0.449,10.035,2.000
5.600,12.412,-6.929,-0.466,10.075,2.000
5.620,12.431,-6.894,-0.480,10.115,2.000
5.640,12.449,-6.859,-0.493,10.155,2.000
5.660,12.468,-6.823,-0.504,10.195,2.000
5.680,12.488,-6.789,-0.514,10.235,2.000
5.700,12.508,-6.754,-0.523,10.275,2.000
5.720,12.528,-6.719,-0.529,10.315,2.000
5.740,12.548,-6.685,-0.535,10.355,2.000
5.760,12.569,-6.650,-0.539,10.395,2.000
5.780,12.589,-6.616,-0.541,10.435,2.000
5.800,12.610,-6.582,-0.543,10.475,2.000
5.820,12.630,-6.548,-0.542,10.515,2.000
5.840,12.651,-6.513,-0.540,10.555,2.000
5.860,12.672,-6.479,-0.536,10.595,2.000
5.880,12.692,-6.444,-0.530,10.635,2.000
5.900,12.712,-6.410,-0.524,10.675,2.000
5.920,12.732,-6.375,-0.514,10.715,2.000
5.940,12.751,-6.340,-0.503,10.755,2.000
5.960,12.770,-6.305,-0.490,10.795,2.000
5.980,12.789,-6.270,-0.475,10.835,2.000
6.000,12.807,-6.234,-0.460,10.875,2.000
6.020,12.824,-6.198,-0.447,10.915,2.000
6.040,12.842,-6.162,-0.434,10.955,2.000
6.060,12.858,-6.125,-0.422,10.995,2.000
6.080,12.874,-6.089,-0.414,11.035,2.000
6.100,12.890,-6.052,-0.406,11.075,2.000
6.120,12.906,-6.015,-0.402,11.115,2.000
6.140,12.922,-5.979,-0.399,11.155,2.000
6.160,12.937,-5.942,-0.397,11.195,2.000
6.180,12.953,-5.905,-0.399,11.235,2.000
6.200,12.968,-5.868,-0.400,11.275,2.000
6.220,12.984,-5.831,-0.406,11.315,2.000
6.240,13.000,-5.794,-0.412,11.355,2.000
6.260,13.016,-5.758,-0.421,11.395,2.000
6.280,13.033,-5.722,-0.432,11.435,2.000
6.300,13.049,-5.685,-0.444,11.475,2.000
6.320,13.067,-5.649,-0.459,11.515,2.000
6.340,13.085,-5.614,-0.475,11.555,2.000
6.360,13.103,-5.578,-0.491,11.595,2.000
6.380,13.123,-5.543,-0.506,11.635,2.000
6.400,13.142,-5.508,-0.520,11.675,2.000
6.420,13.162,-5.474,-0.532,11.715,2.000
6.440,13.183,-5.439,-0.544,11.755,2.000
6.460,13.204,-5.405,-0.555,11.795,2.000
6.480,13.225,-5.371,-0.564,11.835,2.000
6.500,13.246,-5.337,-0.573,11.875,2.000
6.520,13.268,-5.304,-0.579,11.915,2.000
6.540,13.290,-5.271,-0.586,11.955,2.000
6.560,13.313,-5.237,-0.592,11.995,2.000
6.580,13.335,-5.204,-0.597,12.035,2.000
6.600,13.357,-5.171,-0.603,12.075,2.000
6.620,13.380,-5.138,-0.608,12.115,2.000
6.640,13.403,-5.105,-0.612,12.155,2.000
6.660,13.426,-5.073,-0.617,12.195,2.000
6.680,13.449,-5.040,-0.621,12.235,2.000
6.700,13.473,-5.008,-0.624,12.275,2.000
6.720,13.496,-4.975,-0.627,12.315,2.000
6.740,13.520,-4.943,-0.631,12.355,2.000
6.760,13.543,-4.911,-0.633,12.395,2.000
6.780,13.567,-4.878,-0.635,12.435,2.000
6.800,13.591,-4.846,-0.638,12.475,2.000
6.820,13.615,-4.814,-0.639,12.515,2.000
6.840,13.639,-4.782,-0.640,12.555,2.000
6.860,13.662,-4.750,-0.642,12.595,2.000
6.880,13.686,-4.718,-0.642,12.635,2.000
6.900,13.710,-4.686,-0.643,12.675,2.000
6.920,13.734,-4.654,-0.643,12.715,2.000
6.940,13.758,-4.622,-0.642,12.755,2.000
6.960,13.782,-4.590,-0.642,12.795,2.000
6.980,13.806,-4.558,-0.641,12.835,2.000
7.000,13.830,-4.526,-0.640,12.875,2.000
7.020,13.854,-4.494,-0.638,12.915,2.000
7.040,13.878,-4.461,-0.636,12.955,2.000
7.060,13.902,-4.429,-0.635,12.995,2.000
7.080,13.925,-4.397,-0.633,13.035,2.000
7.100,13.949,-4.365,-0.631,13.075,2.000
7.120,13.972,-4.332,-0.630,13.115,2.000
7.140,13.996,-4.300,-0.628,13.155,2.000
7.160,14.019,-4.268,-0.627,13.195,2.000
7.180,14.043,-4.235,-0.626,13.235,2.000
7.200,14.066,-4.203,-0.625,13.275,2.000
7.220,14.090,-4.170,-0.624,13.315,2.000
7.240,14.113,-4.138,-0.624,13.355,2.000
7.260,14.136,-4.106,-0.623,13.395,2.000
7.280,14.160,-4.073,-0.623,13.435,2.000
7.300,14.183,-4.041,-0.623,13.475,2.000
7.320,14.207,-4.008,-0.623,13.515,2.000
7.340,14.230,-3.976,-0.624,13.555,2.000
7.360,14.253,-3.943,-0.624,13.595,2.000
7.380,14.277,-3.911,-0.625,13.635,2.000
7.400,14.300,-3.878,-0.626,13.675,2.000
7.420,14.323,-3.846,-0.627,13.715,2.000
7.440,14.347,-3.814,-0.628,13.755,2.000
7.460,14.370,-3.781,-0.629,13.795,2.000
7.480,14.394,-3.749,-0.631,13.835,2.000
7.500,14.418,-3.717,-0.632,13.875,2.000
7.520,14.441,-3.684,-0.634,13.915,2.000
7.540,14.465,-3.652,-0.636,13.955,2.000
7.560,14.489,-3.620,-0.638,13.995,2.000
7.580,14.513,-3.588,-0.640,14.035,2.000
7.600,14.537,-3.556,-0.642,14.075,2.000
7.620,14.561,-3.524,-0.643,14.115,2.000
7.640,14.585,-3.492,-0.643,14.155,2.000
7.660,14.609,-3.460,-0.644,14.195,2.000
7.680,14.633,-3.428,-0.644,14.235,2.000
7.700,14.657,-3.396,-0.644,14.275,2.000
7.720,14.681,-3.364,-0.643,14.315,2.000
7.740,14.705,-3.332,-0.642,14.355,2.000
7.760,14.728,-3.300,-0.641,14.395,2.000
7.780,14.752,-3.268,-0.639,14.435,2.000
7.800,14.776,-3.235,-0.637,14.475,2.000
7.820,14.800,-3.203,-0.634,14.515,2.000
7.840,14.824,-3.171,-0.632,14.555,2.000
7.860,14.847,-3.139,-0.629,14.595,2.000
7.880,14.871,-3.106,-0.625,14.635,2.000
7.900,14.894,-3.074,-0.621,14.675,2.000
7.920,14.917,-3.041,-0.617,14.715,2.000
7.940,14.940,-3.009,-0.612,14.755,2.000
7.960,14.963,-2.976,-0.607,14.795,2.000
7.980,14.986,-2.943,-0.602,14.835,2.000
8.000,15.009,-2.910,-0.596,14.875,2.000
8.020,15.031,-2.877,-0.590,14.915,2.000
8.040,15.053,-2.843,-0.583,14.955,2.000
8.060,15.075,-2.810,-0.577,14.995,2.000
8.080,15.096,-2.776,-0.569,15.035,2.000
8.100,15.118,-2.743,-0.561,15.075,2.000
8.120,15.139,-2.709,-0.553,15.115,2.000
8.140,15.160,-2.674,-0.545,15.155,2.000
8.160,15.181,-2.640,-0.536,15.195,2.000
8.180,15.201,-2.606,-0.526,15.235,1.983
8.200,15.221,-2.572,-0.517,15.274,1.963
8.220,15.240,-2.537,-0.507,15.313,1.943
8.240,15.258,-2.504,-0.497,15.352,1.923
8.260,15.276,-2.470,-0.487,15.390,1.903
8.280,15.294,-2.436,-0.476,15.428,1.883
8.300,15.311,-2.403,-0.466,15.466,1.863
8.320,15.327,-2.370,-0.455,15.503,1.843
8.340,15.343,-2.337,-0.443,15.539,1.823
8.360,15.359,-2.304,-0.432,15.576,1.803
8.380,15.373,-2.271,-0.420,15.612,1.783
8.400,15.388,-2.239,-0.409,15.647,1.763
8.420,15.402,-2.207,-0.397,15.682,1.743
8.440,15.415,-2.174,-0.385,15.717,1.723
8.460,15.427,-2.143,-0.373,15.751,1.703
8.480,15.440,-2.111,-0.362,15.785,1.683
8.500,15.451,-2.080,-0.352,15.818,1.663
8.520,15.462,-2.049,-0.343,15.851,1.643
8.540,15.473,-2.018,-0.334,15.884,1.623
8.560,15.484,-1.987,-0.328,15.916,1.603
8.580,15.494,-1.957,-0.322,15.948,1.583
8.600,15.504,-1.927,-0.317,15.980,1.563
8.620,15.513,-1.898,-0.314,16.011,1.543
8.640,15.523,-1.868,-0.311,16.041,1.523
8.660,15.532,-1.840,-0.308,16.072,1.503
8.680,15.541,-1.811,-0.307,16.102,1.483
8.700,15.550,-1.783,-0.306,16.131,1.463
8.720,15.559,-1.755,-0.304,16.160,1.443
8.740,15.567,-1.728,-0.302,16.189,1.423
8.760,15.576,-1.701,-0.300,16.217,1.403
8.780,15.584,-1.674,-0.297,16.245,1.383
8.800,15.592,-1.648,-0.295,16.272,1.363
8.820,15.600,-1.622,-0.291,16.299,1.343
8.840,15.607,-1.597,-0.287,16.326,1.323
8.860,15.615,-1.571,-0.284,16.352,1.303
8.880,15.622,-1.547,-0.280,16.378,1.283
8.900,15.629,-1.522,-0.276,16.404,1.263
8.920,15.636,-1.498,-0.271,16.429,1.243
8.940,15.642,-1.474,-0.267,16.453,1.223
8.960,15.649,-1.451,-0.262,16.478,1.203
8.980,15.655,-1.428,-0.257,16.502,1.183
9.000,15.661,-1.405,-0.252,16.525,1.163
9.020,15.666,-1.383,-0.246,16.548,1.143
9.040,15.672,-1.361,-0.241,16.571,1.123
9.060,15.677,-1.339,-0.235,16.593,1.103
9.080,15.682,-1.318,-0.229,16.615,1.083
9.100,15.687,-1.297,-0.223,16.636,1.063
9.120,15.692,-1.276,-0.218,16.657,1.043
9.140,15.696,-1.256,-0.212,16.678,1.023
9.160,15.700,-1.236,-0.205,16.698,1.003
9.180,15.704,-1.217,-0.198,16.718,0.983
9.200,15.708,-1.198,-0.192,16.738,0.963
9.220,15.711,-1.179,-0.186,16.757,0.943
9.240,15.715,-1.161,-0.179,16.775,0.923
9.260,15.718,-1.143,-0.172,16.794,0.903
9.280,15.721,-1.125,-0.165,16.812,0.883
9.300,15.724,-1.108,-0.158,16.829,0.863
9.320,15.726,-1.091,-0.152,16.846,0.843
9.340,15.729,-1.074,-0.145,16.863,0.823
9.360,15.732,-1.058,-0.138,16.879,0.803
9.380,15.733,-1.043,-0.131,16.895,0.783
9.400,15.735,-1.027,-0.124,16.910,0.763
9.420,15.737,-1.012,-0.117,16.925,0.743
9.440,15.739,-0.998,-0.110,16.940,0.723
9.460,15.740,-0.984,-0.104,16.954,0.703
9.480,15.742,-0.970,-0.097,16.968,0.683
9.500,15.743,-0.956,-0.091,16.982,0.663
9.520,15.744,-0.943,-0.084,16.995,0.643
9.540,15.745,-0.931,-0.077,17.007,0.623
9.560,15.746,-0.918,-0.070,17.020,0.603
9.580,15.747,-0.907,-0.064,17.032,0.583
9.600,15.747,-0.895,-0.057,17.043,0.563
9.620,15.748,-0.884,-0.052,17.054,0.543
9.640,15.749,-0.873,-0.046,17.065,0.523
9.660,15.750,-0.862,-0.039,17.077,0.500
